A	Устройство	Устройства
B	Преобразователь	Преобразователи
BA	Громкоговоритель	Громкоговорители
BB	Магнитострикционный элемент	Магнитострикционные элементы
BD	Детектор ионизирующих излучений	Детекторы ионизирующих излучений
BE	Сельсин-приемник	Сельсин-приемники
BF	Телефон	Телефоны
BC	Сельсин-датчик	Сельсин-датчики
BK	Тепловой датчик	Тепловые датчики
BL	Фотоэлемент	Фотоэлементы
BM	Микрофон	Микрофоны
BP	Датчик давления	Датчики давления
BQ	Пьезоэлемент	Пьезоэлементы
BR	Датчик частоты вращения	Датчики частоты вращения
BS	Звукосниматель	Звукосниматели
BV	Датчик скорости	Датчики скорости
C	Конденсатор	Конденсаторы
D	Схема интегральная	Схемы интегральные
DA	Схема интегральная аналоговая	Схемы интегральные аналоговые
DD	Схема интегральная цифровая	Схемы интегральные цифровые
DS	Устройство хранения информации	Устройства хранения информации
DT	Устройство задержки	Устройства задержки
E	Элемент	Элементы
EK	Элемент нагревательный	Элементы нагревательные
EL	Лампа осветительная	Лампы осветительные
ET	Пиропатрон	Пиропатроны
F	Предохранитель	Предохранители
FA	Дискретный элемент защиты по току мгновенного действия	Дискретные элементы защиты по току мгновенного действия
FP	Дискретный элемент защиты по току инерционного действия	Дискретные элементы защиты по току инерционного действия
FU	Предохранитель плавкий	Предохранители плавкие
FV	Дискретный элемент защиты по напряжению	Дискретные элементы защиты по напряжению
G	Источник питания	Источники питания
GB	Батарея	Батареи
Н	Устройство индикационное	Устройства индикационные и сигнальные
HA	Прибор звуковой сигнализации	Приборы звуковой сигнализации
HG	Индикатор символьный	Индикаторы символьный
HL	Прибор световой сигнализации	Приборы световой сигнализации
К	Реле	Реле
КA	Реле токовое	Реле токовое
КН	Реле указательное	Реле указательное
КК	Реле электротепловое	Реле электротепловое
КМ	Магнитный пускатель	Магнитные пускатели
КT	Реле времени	Реле времени
KV	Реле напряжения	Реле напряжения
L	Дроссель	Дроссели
LL 	Дроссель люминесцентного освещения	Дроссели люминесцентного освещения
М	Двигатель	Двигатели
Р	Прибор	Приборы
РA	Амперметр	Амперметры
PC	Счетчик импульсов	Счетчики импульсов
PF	Частотомер	Частотомеры
PI	Счетчик активной энергии	Счетчики активной энергии
РК	Счетчик реактивной энергии	Счетчики реактивной энергии
PR	Омметр	Омметры
PS	Регистрирующий прибор	Регистрирующие приборы
РТ	Часы	Часы
PV	Вольтметр	Вольтметры
PW	Ваттметр	Ваттметры
Q	Выключатель	Выключатели
QF	Выключатель автоматический	Выключатели автоматический
QK	Короткозамыкатель	Короткозамыкатели
QS	Разъединитель	Разъединители
R	Резистор	Резисторы
RK	Терморезистор	Терморезисторы
RP	Потенциометр	Потенциометры
RS	Шунт измерительный	Шунты измерительные
RU	Варистор	Варисторы
S	Устройство коммутационное	Устройства коммутационные
SA	Выключатель или переключатель	Выключатели или переключатели
SB	Выключатель кнопочный	Выключатели кнопочные
SF	Выключатель автоматический	Выключатели автоматические
SL	Выключатель, срабатывающий от уровня	Выключатели, срабатывающие от уровня
SP	Выключатель, срабатывающий от давления	Выключатели, срабатывающие от давления
SQ	Выключатель, срабатывающий от положения	Выключатели, срабатывающие от положения
SR	Выключатель, срабатывающий от частоты вращения	Выключатели, срабатывающие от частоты вращения
SK	Выключатель, срабатывающий от температуры	Выключатели, срабатывающие от температуры
Т	Трансформатор	Трансформаторы
ТА	Трансформатор тока	Трансформаторы тока
TS	Электромагнитный стабилизатор	Электромагнитные стабилизаторы
TV	Трансформатор напряжения	Трансформаторы напряжения
U	Устройство связи	Устройства связи
UB	Модулятор	Модуляторы
UR	Демодулятор	Демодуляторы
UI	Дискриминатор	Дискриминаторы
UZ	Выпрямитель	Выпрямители
V	Прибор полупроводниковый	Приборы полупроводниковые
VD	Диод	Диоды
VL	Прибор электровакуумный	Приборы электровакуумные
VТ	Транзистор	Транзисторы
VS	Тиристор	Тиристоры
W	Элемент СВЧ	Элементы СВЧ
WE	Ответвитель	Ответвители
WК	Короткозамыкатель	Короткозамыкатели
WS	Вентиль	Вентили
WT	Трансформатор	Трансформаторы
WU	Аттенюатор	Аттенюаторы
WA	Антенна	Антенны
X	Соединение контактное	Соединения контактные
ХА	Токосъемник	Токосъемник
XP	Штырь	Штыри
XS	Гнездо	Гнезда
XT	Соединение разборное	Соединения разборные
XW	Соединитель высокочастотный	Соединители высокочастотные
Y	Устройство механическое с электромагнитным приводом	Устройства механические с электромагнитным приводом
YA	Электромагнит	Электромагниты
YB	Тормоз с электромагнитным приводом	Тормоза с электромагнитным приводом
YC	Муфта с электромагнитным приводом	Муфты с электромагнитным приводом
YH	Электромагнитный патрон	Электромагнитные патроны
Z	Фильтр	Фильтры
ZL	Ограничитель	Ограничители
ZQ	Фильтр кварцевый	Фильтры кварцевые
